match_id,queue_id,queue_name,blue_win,red_win,game_duration,game_creation,patch_version,avg_blue_mmr,avg_red_mmr,mmr_difference,blue_mmr_std,red_mmr_std,avg_tier
NA1_5419832567,450,ARAM,True,False,1051,1763895777240,"['15', '23']",,,,,
NA1_5366721065,450,ARAM,True,False,1974,1757626948799,"['15', '18']",,,,,
NA1_5372399118,450,ARAM,True,False,1425,1758434393438,"['15', '18']",,,,,
NA1_5363657041,450,ARAM,False,True,1383,1757195070876,"['15', '17']",,,,,
NA1_5362742566,450,ARAM,True,False,1519,1757057306261,"['15', '17']",,,,,
NA1_5393612145,450,ARAM,False,True,1329,1760522729555,"['15', '20']",,,,,
NA1_5408455052,450,ARAM,False,True,1350,1762545891052,"['15', '22']",,,,,
NA1_5420919896,450,ARAM,True,False,868,1764030264797,"['15', '23']",,,,,
NA1_5284505750,450,ARAM,True,False,926,1746926289277,"['15', '9']",,,,,
NA1_5294849088,450,ARAM,True,False,1753,1748231893015,"['15', '10']",,,,,
NA1_5401420247,450,ARAM,False,True,1222,1761543601181,"['15', '21']",,,,,
NA1_5380488175,450,ARAM,False,True,1274,1759118652564,"['15', '19']",,,,,
NA1_5307099505,450,ARAM,True,False,1176,1749919947679,"['15', '12']",,,,,
NA1_5191534650,450,ARAM,False,True,1702,1735189642052,"['14', '24']",,,,,
NA1_5391863933,450,ARAM,False,True,1182,1760314141987,"['15', '20']",,,,,
NA1_4926294169,450,ARAM,True,False,1095,1708304884153,"['14', '3']",,,,,
NA1_5378121625,450,ARAM,False,True,1400,1758955648789,"['15', '19']",,,,,
NA1_5419256400,450,ARAM,False,True,983,1763849893644,"['15', '23']",,,,,
NA1_5285269382,450,ARAM,True,False,728,1747019273889,"['15', '9']",,,,,
NA1_5234030758,450,ARAM,True,False,1325,1740093001491,"['15', '4']",,,,,
NA1_5311952551,450,ARAM,True,False,1077,1750573360576,"['15', '12']",,,,,
NA1_4929980833,450,ARAM,True,False,859,1708658567477,"['14', '4']",,,,,
NA1_5363118329,450,ARAM,False,True,1239,1757122785463,"['15', '17']",,,,,
NA1_5353692216,450,ARAM,False,True,1444,1755993913099,"['15', '16']",,,,,
NA1_5392547929,450,ARAM,True,False,1739,1760396802408,"['15', '20']",,,,,
NA1_5385766384,450,ARAM,False,True,1090,1759626701064,"['15', '19']",,,,,
NA1_5291962627,450,ARAM,True,False,2106,1747875065287,"['15', '10']",,,,,
NA1_5307529081,450,ARAM,True,False,743,1749962997779,"['15', '12']",,,,,
NA1_5350349184,450,ARAM,False,True,1202,1755576619159,"['15', '16']",,,,,
NA1_5350346267,450,ARAM,True,False,1697,1755576453980,"['15', '16']",,,,,
NA1_5136775163,450,ARAM,False,True,849,1729385314909,"['14', '20']",,,,,
NA1_5406645373,450,ARAM,False,True,1091,1762293882381,"['15', '21']",,,,,
NA1_5304181713,450,ARAM,True,False,1262,1749512279532,"['15', '11']",,,,,
NA1_5326792364,450,ARAM,True,False,968,1752716089684,"['15', '14']",,,,,
NA1_5030447654,450,ARAM,False,True,1103,1719776191690,"['14', '13']",,,,,
NA1_5401126681,450,ARAM,False,True,943,1761522642213,"['15', '21']",,,,,
NA1_5400040126,450,ARAM,True,False,1488,1761377871749,"['15', '21']",,,,,
NA1_5304780227,450,ARAM,True,False,1167,1749597657664,"['15', '11']",,,,,
NA1_5349695595,450,ARAM,True,False,861,1755493992662,"['15', '16']",,,,,
NA1_5374173822,450,ARAM,True,False,1060,1758696311429,"['15', '18']",,,,,
NA1_5301173252,450,ARAM,False,True,666,1749089117574,"['15', '11']",,,,,
NA1_5284546896,450,ARAM,True,False,923,1746929695026,"['15', '9']",,,,,
NA1_5373844558,450,ARAM,True,False,1070,1758665196816,"['15', '18']",,,,,
NA1_5140255028,450,ARAM,True,False,558,1729828668623,"['14', '21']",,,,,
