match_id,queue_id,queue_name,blue_win,red_win,game_duration,game_creation,patch_version,avg_blue_mmr,avg_red_mmr,mmr_difference,blue_mmr_std,red_mmr_std,avg_tier
NA1_5026134587,490,Quickplay (Normal),False,True,1510,1719186317679,"['14', '12']",,,,,,
NA1_5148366106,490,Quickplay (Normal),False,True,1536,1730930945661,"['14', '22']",,,,,,
NA1_4947885124,490,Quickplay (Normal),False,True,1440,1710552155434,"['14', '5']",,,,,,
NA1_5196928848,490,Quickplay (Normal),False,True,2094,1735784668917,"['14', '24']",,,,,,
NA1_5000186032,490,Quickplay (Normal),True,False,2043,1716003532228,"['14', '10']",,,,,,
NA1_5182262536,490,Quickplay (Normal),False,True,969,1734233514441,"['14', '24']",,,,,,
NA1_5183912467,490,Quickplay (Normal),False,True,1364,1734396880371,"['14', '24']",,,,,,
NA1_5117822509,490,Quickplay (Normal),True,False,1289,1726968652961,"['14', '18']",,,,,,
NA1_5048737404,490,Quickplay (Normal),False,True,2199,1721451089956,"['14', '14']",,,,,,
NA1_4968444707,490,Quickplay (Normal),False,True,3561,1712556002401,"['14', '7']",,,,,,
NA1_5199493763,490,Quickplay (Normal),True,False,1663,1736056717542,"['14', '24']",,,,,,
NA1_5199018725,490,Quickplay (Normal),True,False,1985,1736022620105,"['14', '24']",,,,,,
NA1_4882626462,490,Quickplay (Normal),True,False,2569,1704516989765,"['13', '24']",,,,,,
NA1_5015832684,490,Quickplay (Normal),True,False,1384,1717898776522,"['14', '11']",,,,,,
NA1_5196045939,490,Quickplay (Normal),False,True,2680,1735688086237,"['14', '24']",,,,,,
NA1_5151103533,490,Quickplay (Normal),True,False,1577,1731224559944,"['14', '22']",,,,,,
NA1_5196970334,490,Quickplay (Normal),True,False,953,1735787247201,"['14', '24']",,,,,,
NA1_5199116819,490,Quickplay (Normal),True,False,1171,1736031129904,"['14', '24']",,,,,,
NA1_5201562803,490,Quickplay (Normal),False,True,2121,1736299566186,"['14', '24']",,,,,,
NA1_5007520324,490,Quickplay (Normal),False,True,1628,1716865011595,"['14', '10']",,,,,,
NA1_5175293921,490,Quickplay (Normal),True,False,1721,1733539350036,"['14', '23']",,,,,,
NA1_4976076597,490,Quickplay (Normal),True,False,1119,1713377221842,"['14', '8']",,,,,,
NA1_5026178526,490,Quickplay (Normal),True,False,1090,1719189733573,"['14', '12']",,,,,,
NA1_5151208612,490,Quickplay (Normal),True,False,943,1731248338861,"['14', '22']",,,,,,
NA1_5199041655,490,Quickplay (Normal),False,True,969,1736024848080,"['14', '24']",,,,,,
NA1_5200406367,490,Quickplay (Normal),False,True,2191,1736150086951,"['14', '24']",,,,,,
NA1_5201462474,490,Quickplay (Normal),True,False,1611,1736291789629,"['14', '24']",,,,,,
NA1_4865140672,490,Quickplay (Normal),True,False,1208,1703014127720,"['13', '24']",,,,,,
NA1_5201661585,490,Quickplay (Normal),True,False,1114,1736306116179,"['14', '24']",,,,,,
NA1_4891535023,490,Quickplay (Normal),False,True,1579,1705219793728,"['14', '1']",,,,,,
NA1_4953779898,490,Quickplay (Normal),True,False,1965,1711164732645,"['14', '6']",,,,,,
NA1_5159861287,490,Quickplay (Normal),True,False,1130,1732236687843,"['14', '23']",,,,,,
NA1_4976079836,490,Quickplay (Normal),False,True,622,1713376259507,"['14', '8']",,,,,,
NA1_5151455050,490,Quickplay (Normal),False,True,1594,1731277421425,"['14', '22']",,,,,,
NA1_5089852194,490,Quickplay (Normal),False,True,1087,1724031722691,"['14', '16']",,,,,,
NA1_4865290792,490,Quickplay (Normal),False,True,2358,1703025813030,"['13', '24']",,,,,,
NA1_5149569098,490,Quickplay (Normal),False,True,2041,1731052576980,"['14', '22']",,,,,,
NA1_5043093335,490,Quickplay (Normal),True,False,1653,1721285215942,"['14', '14']",,,,,,
NA1_5199516212,490,Quickplay (Normal),False,True,1447,1736058560671,"['14', '24']",,,,,,
NA1_5199127715,490,Quickplay (Normal),False,True,1952,1736032386934,"['14', '24']",,,,,,
NA1_5006108029,490,Quickplay (Normal),False,True,1519,1716702258818,"['14', '10']",,,,,,
NA1_5198961402,490,Quickplay (Normal),True,False,796,1736016565856,"['14', '24']",,,,,,
